,real,pred,answer
0,squamous cell carcinoma,basal cell carcinoma,0
1,nevus,nevus,1
2,nevus,nevus,1
3,nevus,nevus,1
4,nevus,nevus,1
5,nevus,nevus,1
6,nevus,nevus,1
7,melanoma,melanoma,1
8,pigmented benign keratosis,pigmented benign keratosis,1
9,nevus,nevus,1
10,nevus,nevus,1
11,nevus,nevus,1
12,nevus,nevus,1
13,melanoma,nevus,0
14,vascular lesion,nevus,0
15,nevus,nevus,1
16,melanoma,nevus,0
17,nevus,nevus,1
18,nevus,nevus,1
19,nevus,nevus,1
20,nevus,nevus,1
21,melanoma,nevus,0
22,melanoma,nevus,0
23,melanoma,nevus,0
24,nevus,nevus,1
25,nevus,nevus,1
26,nevus,nevus,1
27,nevus,nevus,1
28,basal cell carcinoma,nevus,0
29,nevus,nevus,1
30,melanoma,nevus,0
31,nevus,nevus,1
32,nevus,nevus,1
33,nevus,nevus,1
34,pigmented benign keratosis,nevus,0
35,nevus,nevus,1
36,nevus,nevus,1
37,nevus,nevus,1
38,nevus,pigmented benign keratosis,0
39,pigmented benign keratosis,nevus,0
40,nevus,nevus,1
41,basal cell carcinoma,pigmented benign keratosis,0
42,nevus,nevus,1
43,pigmented benign keratosis,melanoma,0
44,nevus,nevus,1
45,nevus,pigmented benign keratosis,0
46,nevus,melanoma,0
47,nevus,nevus,1
48,nevus,nevus,1
49,nevus,nevus,1
50,melanoma,nevus,0
51,pigmented benign keratosis,nevus,0
52,nevus,nevus,1
53,pigmented benign keratosis,nevus,0
54,nevus,nevus,1
55,nevus,nevus,1
56,melanoma,nevus,0
57,nevus,nevus,1
58,nevus,nevus,1
59,pigmented benign keratosis,pigmented benign keratosis,1
60,pigmented benign keratosis,nevus,0
61,melanoma,nevus,0
62,nevus,nevus,1
63,nevus,nevus,1
64,vascular lesion,nevus,0
65,nevus,nevus,1
66,actinic keratosis,nevus,0
67,nevus,nevus,1
68,nevus,nevus,1
69,nevus,nevus,1
70,nevus,nevus,1
71,nevus,nevus,1
72,actinic keratosis,nevus,0
73,nevus,nevus,1
74,actinic keratosis,nevus,0
75,nevus,nevus,1
76,nevus,nevus,1
77,nevus,nevus,1
78,vascular lesion,nevus,0
79,nevus,pigmented benign keratosis,0
80,nevus,nevus,1
81,nevus,nevus,1
82,pigmented benign keratosis,nevus,0
83,nevus,nevus,1
84,nevus,nevus,1
85,nevus,nevus,1
86,nevus,nevus,1
87,vascular lesion,nevus,0
88,melanoma,melanoma,1
89,nevus,nevus,1
90,nevus,nevus,1
91,melanoma,nevus,0
92,pigmented benign keratosis,nevus,0
93,basal cell carcinoma,basal cell carcinoma,1
94,nevus,nevus,1
95,basal cell carcinoma,basal cell carcinoma,1
96,nevus,nevus,1
97,nevus,nevus,1
98,nevus,nevus,1
99,nevus,nevus,1
100,nevus,nevus,1
101,nevus,nevus,1
102,melanoma,nevus,0
103,melanoma,nevus,0
104,nevus,nevus,1
105,nevus,nevus,1
106,nevus,nevus,1
107,melanoma,pigmented benign keratosis,0
108,nevus,nevus,1
109,nevus,nevus,1
110,nevus,melanoma,0
111,actinic keratosis,basal cell carcinoma,0
112,pigmented benign keratosis,pigmented benign keratosis,1
113,nevus,nevus,1
114,melanoma,melanoma,1
115,nevus,nevus,1
116,nevus,nevus,1
117,nevus,nevus,1
118,nevus,nevus,1
119,pigmented benign keratosis,nevus,0
120,nevus,nevus,1
121,nevus,nevus,1
122,basal cell carcinoma,basal cell carcinoma,1
123,nevus,nevus,1
124,nevus,nevus,1
125,melanoma,nevus,0
126,nevus,nevus,1
127,melanoma,nevus,0
128,nevus,nevus,1
129,dermatofibroma,basal cell carcinoma,0
130,actinic keratosis,nevus,0
131,melanoma,nevus,0
132,squamous cell carcinoma,nevus,0
133,melanoma,nevus,0
134,nevus,nevus,1
135,pigmented benign keratosis,pigmented benign keratosis,1
136,nevus,nevus,1
137,nevus,nevus,1
138,nevus,nevus,1
139,nevus,nevus,1
140,nevus,nevus,1
141,nevus,nevus,1
142,melanoma,nevus,0
143,nevus,nevus,1
144,nevus,nevus,1
145,nevus,nevus,1
146,basal cell carcinoma,nevus,0
147,melanoma,nevus,0
148,nevus,nevus,1
149,nevus,nevus,1
150,nevus,nevus,1
151,nevus,nevus,1
152,nevus,melanoma,0
153,nevus,nevus,1
154,nevus,nevus,1
155,nevus,nevus,1
156,nevus,nevus,1
157,nevus,nevus,1
158,squamous cell carcinoma,nevus,0
159,nevus,nevus,1
160,pigmented benign keratosis,pigmented benign keratosis,1
161,melanoma,nevus,0
162,pigmented benign keratosis,nevus,0
163,squamous cell carcinoma,pigmented benign keratosis,0
164,nevus,nevus,1
165,nevus,nevus,1
166,nevus,nevus,1
167,nevus,nevus,1
168,nevus,nevus,1
169,pigmented benign keratosis,nevus,0
170,nevus,nevus,1
171,nevus,nevus,1
172,nevus,nevus,1
173,melanoma,nevus,0
174,melanoma,melanoma,1
175,nevus,nevus,1
176,nevus,nevus,1
177,nevus,nevus,1
178,nevus,nevus,1
179,melanoma,melanoma,1
180,pigmented benign keratosis,pigmented benign keratosis,1
181,melanoma,nevus,0
182,nevus,nevus,1
183,pigmented benign keratosis,pigmented benign keratosis,1
184,melanoma,pigmented benign keratosis,0
185,nevus,pigmented benign keratosis,0
186,nevus,nevus,1
187,nevus,nevus,1
188,nevus,nevus,1
189,nevus,nevus,1
190,nevus,nevus,1
191,nevus,nevus,1
192,nevus,nevus,1
193,nevus,nevus,1
194,melanoma,pigmented benign keratosis,0
195,nevus,basal cell carcinoma,0
196,nevus,nevus,1
197,nevus,nevus,1
198,nevus,nevus,1
199,nevus,nevus,1
200,basal cell carcinoma,nevus,0
201,nevus,nevus,1
202,nevus,nevus,1
203,nevus,nevus,1
204,nevus,nevus,1
205,melanoma,nevus,0
206,nevus,nevus,1
207,nevus,nevus,1
208,nevus,nevus,1
209,melanoma,nevus,0
